Time_horizon_score,Range,1,2,3,4,5,6,7,8,9,0,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
3,3-4,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate "
4,3-4,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate "
5,5,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive"
7,7-9,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive",Agressive,Agressive,Agressive
8,7-9,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive",Agressive,Agressive,Agressive
9,7-9,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive",Agressive,Agressive,Agressive
10,10-12,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive",Agressive,Agressive,Agressive,Agressive,Agressive,Agressive
11,10-12,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive",Agressive,Agressive,Agressive,Agressive,Agressive,Agressive
12,10-12,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive",Agressive,Agressive,Agressive,Agressive,Agressive,Agressive
14,14-18,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive",Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive
15,14-18,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive",Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive
16,14-18,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive",Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive
17,14-18,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive",Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive
18,14-18,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,Conservative,"Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderately conservative","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderate ","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive","Moderately agressive",Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive,Agressive
